osmid,street_count,highway,geometry,NN,NN_dist
316624768,4,,POINT (-77.00404 -12.0839673),316624768,0.0
316624769,3,,POINT (-77.004092 -12.0833302),316624769,0.0
316624772,4,,POINT (-77.0051227 -12.0813161),316624772,0.0
316628653,3,,POINT (-76.993521 -12.071854),2887440421,0.0009470601300901746
316628657,4,,POINT (-76.99978230000001 -12.0635526),316628657,0.0
316628702,4,,POINT (-76.99466719999999 -12.0705089),316628702,0.0
316628703,3,,POINT (-76.989825 -12.076812),316628703,0.0
316630034,3,,POINT (-76.98841179999999 -12.0643173),316630034,0.0
392152335,4,,POINT (-76.9976064 -12.0808782),495672279,0.001437163240553343
392152337,4,,POINT (-76.9990176 -12.0783907),392152337,0.0
392152338,4,,POINT (-76.9990811 -12.0782926),392152338,0.0
392152388,3,,POINT (-76.9997994 -12.0770802),1047204872,0.00038892488992090413
392152389,4,,POINT (-77.000704 -12.0755165),392152389,0.0
392152390,4,,POINT (-77.0009694 -12.075066),392152390,0.0
392152391,4,,POINT (-77.00102320000001 -12.0749829),392152391,0.0
392152392,4,,POINT (-77.001654 -12.0739346),392152392,0.0
392152394,4,,POINT (-77.0027623 -12.0720553),392152394,0.0
392152664,4,,POINT (-77.0028652 -12.0721093),392152664,0.0
392152666,4,,POINT (-77.001098 -12.0751348),392152666,0.0
392152667,4,,POINT (-77.00011859999999 -12.0768179),1047204872,0.00012663522416148836
392152669,4,,POINT (-76.99920880000001 -12.0783706),392152338,0.00014963719458041687
392152670,4,,POINT (-76.99914870000001 -12.0784714),392152337,0.00015394706882925678
392152673,3,,POINT (-76.9977331 -12.0809557),495672279,0.0014046006692325374
392154214,4,,POINT (-77.00524129999999 -12.0812128),392154214,0.0
392154266,3,,POINT (-76.9959207 -12.076643),392154268,0.0005827845656814592
392154267,4,,POINT (-76.9954937 -12.0764042),392154268,9.360454048335936e-05
392154268,4,,POINT (-76.9954103 -12.0763617),392154268,0.0
392154272,3,,POINT (-76.9923368 -12.0748432),471611654,0.0007956282109133107
392154284,3,,POINT (-76.9919074 -12.0746344),1840977010,0.0003752541805201056
392154286,3,,POINT (-76.9926147 -12.0748368),471611654,0.000982055405770263
392154288,4,,POINT (-76.99419349999999 -12.0756128),392154268,0.0014287944043916189
392154289,4,,POINT (-76.995475 -12.0762543),392154289,0.0
392154290,4,,POINT (-76.9955514 -12.076296),392154289,8.703935891034657e-05
392154316,3,,POINT (-77.0044327 -12.0809153),316624772,0.0007979602997700623
471577372,3,,POINT (-76.9972982 -12.068928),471577372,0.0
471577391,3,,POINT (-76.9956136 -12.0692527),471577391,0.0
471578545,3,,POINT (-76.9967006 -12.068586),471578545,0.0
471578549,3,,POINT (-76.99604050000001 -12.0687057),471578549,0.0
471578630,3,,POINT (-76.9959506 -12.0687029),471578630,0.0
471578633,3,,POINT (-76.99581310000001 -12.0680781),471578633,0.0
471578721,3,,POINT (-76.9965815 -12.067891),471578721,0.0
471578724,3,,POINT (-76.9959209 -12.0680396),471578724,0.0
471611654,3,,POINT (-76.9918648 -12.0742027),471611654,0.0
471611927,3,,POINT (-76.9912846 -12.0747416),471612694,0.00020531909312205987
471612694,3,,POINT (-76.9912874 -12.0749469),471612694,0.0
471613497,4,,POINT (-76.9886034 -12.0720657),471613497,0.0
471613498,4,,POINT (-76.98874910000001 -12.0721164),471613497,0.0001542691803355386
471614172,4,,POINT (-76.98850779999999 -12.072649),4938677827,0.0001376204926499026
471614190,4,,POINT (-76.98941720000001 -12.0736168),1042073881,0.0013725676850358595
495672279,4,,POINT (-76.9972131 -12.0822605),495672279,0.0
495672287,4,,POINT (-76.9936745 -12.0809222),495672287,0.0
495672332,4,,POINT (-76.99347280000001 -12.0810485),495672332,0.0
526021471,4,,POINT (-76.9992342 -12.0700309),526021471,0.0
526021524,4,,POINT (-76.9952591 -12.0709577),526021524,0.0
526021573,4,,POINT (-76.99706949999999 -12.0722851),526021573,0.0
526021603,4,,POINT (-76.9976078 -12.0726016),526021603,0.0
526021972,3,,POINT (-76.99914769999999 -12.0699816),526021972,0.0
526022137,4,,POINT (-76.9984474 -12.0713217),1482473443,7.472382485413169e-05
526067107,3,,POINT (-76.9950702 -12.0794584),1840977032,0.0012085413108424263
528068966,3,,POINT (-76.9941752 -12.0791848),1840977032,0.000508342581339871
791160133,4,,POINT (-76.9935234 -12.0808497),791160133,0.0
1042073881,3,,POINT (-76.9882326 -12.0729235),1042073881,0.0
1042083415,4,,POINT (-76.9882265 -12.0680426),1482227728,0.0014245719427248378
1042083418,3,,POINT (-76.9882066 -12.068741),4938677835,0.0017114843265436674
1042083421,4,,POINT (-76.98783109999999 -12.0672013),1482227728,0.0005565217066767416
1042083440,4,,POINT (-76.9870574 -12.0641011),1042083440,0.0
1042083451,3,,POINT (-76.98761500000001 -12.0654356),4361827174,0.001229129663624269
1042083462,4,,POINT (-76.98730380000001 -12.0641381),1042083462,0.0
1042083464,3,,POINT (-76.9890042 -12.0715273),471613497,0.0006712042908051837
1042083467,4,,POINT (-76.988569 -12.0693949),4938677835,0.00100883305358125
1042083476,3,,POINT (-76.9879186 -12.0735307),1042073881,0.0006835845521959942
1047201559,3,,POINT (-77.0040874 -12.0834986),1047201559,0.0
1047201561,3,,POINT (-77.0014293 -12.0827415),4356638072,0.001630112158717272
1047201563,1,,POINT (-77.0017404 -12.0825212),4356638072,0.0016270495659288556
1047201566,3,,POINT (-77.0010023 -12.0830557),4356638072,0.0017672075175260166
1047201568,3,,POINT (-77.0026524 -12.0829723),4356638072,0.0009790560760260646
1047201575,3,,POINT (-77.0038192 -12.0834621),1047201559,0.0002706722926422508
1047201585,4,,POINT (-77.0026015 -12.0832844),4356638072,0.0006631441623063866
1047203552,3,,POINT (-77.004406 -12.0763324),4168498627,0.00023815633520557353
1047203562,4,,POINT (-76.9969735 -12.0738665),1047203610,6.884722216109894e-05
1047203569,4,,POINT (-77.00796320000001 -12.0770342),1047203569,0.0
1047203571,3,,POINT (-77.0098259 -12.0788531),316625006,0.0004401204948679546
1047203572,3,,POINT (-77.00210970000001 -12.0755634),1047203600,0.0007530936263121207
1047203576,4,,POINT (-77.0084416 -12.0771146),1047203576,0.0
1047203579,4,,POINT (-77.006865 -12.0802575),4357996389,0.0001495880008596115
1047203583,3,,POINT (-77.00158500000001 -12.0753931),392152666,0.0005512602742860634
1047203591,3,,POINT (-76.9968981 -12.0738233),1047203591,0.0
1047203592,4,,POINT (-77.0054397 -12.0765313),1047203592,0.0
1047203593,3,,POINT (-77.0020516 -12.0756494),1047203600,0.0007604723795094983
1047203594,4,,POINT (-77.01011579999999 -12.0773802),4054000252,8.28329040882808e-05
1047203597,3,,POINT (-77.00507210000001 -12.0811491),316624772,0.00017449744983758262
1047203600,4,,POINT (-77.0027348 -12.0759834),1047203600,0.0
1047203602,3,,POINT (-76.996864 -12.0738814),1047203602,0.0
1047203603,4,,POINT (-76.9978888 -12.0743694),1047203603,0.0
1047203605,3,,POINT (-77.0074529 -12.0769318),1047203605,0.0
1047203610,4,,POINT (-76.9969372 -12.073925),1047203610,0.0
1047203611,3,,POINT (-77.0045111 -12.0757903),4168498627,0.0005933576493126755
1047203615,3,,POINT (-76.9974965 -12.0742429),1047203603,0.0004121911449815893
1047204869,3,,POINT (-77.00173239999999 -12.0762152),1047203600,0.0010288522731708237
1047204871,3,,POINT (-77.0094811 -12.0778656),1047204892,0.0005848434405893085
1047204872,3,,POINT (-77.0000098 -12.0767531),1047204872,0.0
1047204873,3,,POINT (-77.0010645 -12.077349),1047204872,0.0012113995624875578
1047204880,3,,POINT (-77.00124820000001 -12.0770054),1047204872,0.001263839329192295
1047204883,3,,POINT (-77.0024057 -12.0779337),1047203600,0.001977871810811838
1047204884,3,,POINT (-77.0019657 -12.0777372),1047203600,0.001915027219126988
1047204886,3,,POINT (-77.0083427 -12.0776597),1047203576,0.0005539992960280748
1047204887,3,,POINT (-77.0081751 -12.0785836),1047203576,0.0014929779804129235
1047204891,3,,POINT (-77.0005791 -12.0770982),1047204872,0.0006657300503919034
1047204892,4,,POINT (-77.0095807 -12.0772893),1047204892,0.0
1047204893,3,,POINT (-77.00827580000001 -12.0780283),1047203576,0.0009286211983347861
1047204906,3,,POINT (-77.00932570000001 -12.0787653),316625006,0.0008452363515582819
1047207398,3,,POINT (-77.0072629 -12.0745839),1047207398,0.0
1047207399,4,,POINT (-77.0067629 -12.0744626),4356244396,0.00014017221550574615
1047207408,3,,POINT (-77.00626800000001 -12.0752822),4356244396,0.001097556859570156
1047207411,3,,POINT (-77.0065006 -12.0748506),4356244396,0.0006081860406158866
1047207415,3,,POINT (-77.00288190000001 -12.0741914),4356231840,0.0012213844644535685
1047207419,3,,POINT (-77.00404709999999 -12.0728901),3332559565,0.0012347076455592472
1047207434,4,,POINT (-77.0046213 -12.0758063),4168498627,0.0006504956417929988
1047207435,3,,POINT (-77.007813 -12.0756074),416139622,0.0007168413283283652
1047207461,3,,POINT (-77.0070348 -12.0762884),4168498654,0.0006368345782053731
1047207463,3,,POINT (-77.0056309 -12.076008),1047203592,0.0005571358272455297
1047207465,3,,POINT (-77.00544189999999 -12.0743169),3332559564,0.0008668645626599045
1047207484,3,,POINT (-77.00452490000001 -12.0763558),4168498627,0.00035929187299539784
1047207492,3,,POINT (-77.0065464 -12.0761908),4168498654,0.0005941694371151256
1047207503,4,,POINT (-77.0051022 -12.0735138),3332559565,0.00012707419092770553
1047207507,4,,POINT (-77.0053453 -12.0748205),3332559564,0.0013562563363902446
1047207509,3,,POINT (-77.00590320000001 -12.0750618),4356244396,0.0011759423540220989
1047207513,4,,POINT (-77.0028245 -12.0721836),1047207513,0.0
1047207520,3,,POINT (-77.001966 -12.0736712),4356231840,0.0003264648526265557
1047207530,3,,POINT (-77.00604939999999 -12.0760916),1047203592,0.0007517115005089002
1047207534,3,,POINT (-77.0046552 -12.0749832),4168498627,0.0013818880562462927
1047207537,3,,POINT (-77.0069439 -12.0750933),1047207398,0.000601040231601247
1047207542,3,,POINT (-77.0051258 -12.0759071),1047203592,0.0006986836551654959
1047207545,4,,POINT (-77.00567119999999 -12.0738343),3332559564,0.0005399915740003587
1047207553,4,,POINT (-77.0034141 -12.0744953),1047203600,0.001635814812257437
1047207556,3,,POINT (-77.0048348 -12.0747188),3332559564,0.001328318519785848
1047207559,4,,POINT (-77.0052128 -12.0735773),3332559564,0.00012814031372436496
1112074080,3,,POINT (-76.99021380000001 -12.0663333),1273873791,0.0010393050803313747
1112080716,3,,POINT (-76.98913090000001 -12.0681275),1273873791,0.001056498982486823
1112088204,3,,POINT (-76.9945602 -12.0688339),1273623506,0.0010830624174106164
1112090143,3,,POINT (-76.9929466 -12.0664636),1112090143,0.0
1273449901,4,,POINT (-76.99997930000001 -12.061474),6290791555,0.001999591863354494
1273466963,4,,POINT (-76.9907176 -12.0702529),4382868351,0.001052507643678847
1273470824,4,,POINT (-76.9933723 -12.0794673),1840977032,0.0005116539846335153
1273472914,4,,POINT (-76.99931719999999 -12.0767961),1047204872,0.0006939335414942897
1273475966,3,,POINT (-76.98819 -12.0800375),1302813092,0.002141581270937262
1273478502,3,,POINT (-76.99456410000001 -12.0749493),392154289,0.0015914659311432437
1273482716,3,,POINT (-76.9978866 -12.0708967),1482473443,0.000629350625641875
1273483575,4,,POINT (-76.9917861 -12.068436),1112090143,0.002288475914226043
1273485288,3,,POINT (-76.9892476 -12.0808795),2840662201,0.0023745316948798273
1273489475,3,,POINT (-76.9935129 -12.0790048),1840977032,0.0006854053472200031
1273502056,3,,POINT (-76.9957787 -12.071352),1273502056,0.0
1273504311,4,,POINT (-76.9957788 -12.0662415),1482235731,0.0013413709554021451
1273513826,3,,POINT (-76.9999766 -12.0619422),6290791555,0.0015419875258901325
1273515907,4,,POINT (-76.9984925 -12.0644619),316628657,0.0015781034598605357
1273520644,3,,POINT (-76.99760209999999 -12.0752146),1047203603,0.0008925020616239893
1273524179,4,,POINT (-76.9987498 -12.0706357),1273524179,0.0
1273535972,3,,POINT (-76.993853 -12.0727709),1273535972,0.0
1273548241,3,,POINT (-76.9966962 -12.0646045),1482227739,0.00173462198764336
1273579329,3,,POINT (-76.99640170000001 -12.0761111),392154289,0.0009376988482528662
1273590988,3,,POINT (-76.9910163 -12.0744293),1840977010,0.0005496434116836336
1273592189,3,,POINT (-76.9995794 -12.0763297),1047204872,0.0006037480600368897
1273599322,4,,POINT (-76.9907391 -12.0817211),4356661501,0.0021963835821596947
1273599493,4,,POINT (-76.9984139 -12.0611773),316628657,0.0027412713565069854
1273604289,4,,POINT (-76.99356589999999 -12.0743288),4376540453,0.0009643459234102538
1273606501,3,,POINT (-76.9968308 -12.0753748),1047203610,0.00145369907477632
1273622276,3,,POINT (-76.99070810000001 -12.0812027),4356661501,0.0019082340527199824
1273623506,2,,POINT (-76.9950436 -12.0678647),1273623506,0.0
1273661708,3,,POINT (-76.9979639 -12.0738544),1047203603,0.0005204469329341792
1273663621,3,,POINT (-76.9993566 -12.0735799),1757230644,0.0009988759132136611
1273678559,3,,POINT (-76.9908223 -12.065281),4341204495,0.0008274960120778909
1273679163,3,,POINT (-76.9973715 -12.0698607),471577372,0.0009355758547543565
1273686782,3,,POINT (-76.99493440000001 -12.0730347),1273686782,0.0
1273687916,4,,POINT (-76.9962676 -12.065532),5090723456,0.0017158821871062545
1273699533,4,,POINT (-76.9932378 -12.0758101),1840977010,0.002080603780153943
1273706862,3,,POINT (-76.99009479999999 -12.0798017),2840662201,0.0010038289545546161
1273713090,3,,POINT (-76.98900999999999 -12.0789884),4356668506,0.0010323393240662107
1273719873,3,,POINT (-76.9904094 -12.0772965),316628703,0.0007591202869166671
1273729996,4,,POINT (-77.0001259 -12.0722802),1482473443,0.0020075896119504106
1273731233,3,,POINT (-77.0015283 -12.0722077),1757230558,0.0009817715874876943
1273785663,4,,POINT (-76.991241 -12.069338),4382868351,0.0021065267551151714
1273794834,3,,POINT (-76.99614320000001 -12.0654719),5090723456,0.001853288604075829
1273802380,3,,POINT (-77.0000173 -12.0622957),6290791555,0.0011896350070517746
1273804186,3,,POINT (-77.0020727 -12.0619879),1481055224,0.0009202992665422448
1273804645,3,,POINT (-77.0002229 -12.0752581),392152389,0.0005461023438903896
1273817690,3,,POINT (-76.99345169999999 -12.0753854),471611654,0.001979149034300916
1273819587,3,,POINT (-76.9921307 -12.0792278),4356661501,0.0010193610989227082
1273819875,4,,POINT (-76.9997826 -12.0728704),1757230644,0.0018097380860236955
1273822370,3,,POINT (-76.9947981 -12.0802758),4356655354,0.0009780918412902314
1273854772,3,,POINT (-76.99899619999999 -12.071648),1482473443,0.0007131968872585418
1273858514,4,,POINT (-76.9991785 -12.0740377),1757230644,0.0005126703424231487
1273866010,3,,POINT (-76.9912288 -12.075317),471612694,0.0003747105149312138
1273869478,3,,POINT (-76.99243749999999 -12.0816961),495672332,0.0012211600427569933
1273873791,4,,POINT (-76.989687 -12.0672292),1273873791,0.0
1273875439,3,,POINT (-76.9901449 -12.0812074),2840662201,0.0022783830077475137
1273880529,3,,POINT (-76.9974062 -12.071715),6129427844,0.0006507743387627587
1273891304,3,,POINT (-76.9928058 -12.0766349),471612694,0.002270436645225583
