osmid,street_count,highway,ref,geometry,NN,NN_dist
31044246,3,,,POINT (-77.09038049999999 -12.0116407),1359117068,0.00015913720494290605
31044276,3,,,POINT (-77.0902877 -12.0118578),6047167130,0.00027715131246579483
31069450,4,,,POINT (-77.09482079999999 -12.0134922),31069450,0.0
31069459,4,,,POINT (-77.0949238 -12.0133411),31069450,0.00018286664540607817
31069494,4,,,POINT (-77.0953391 -12.0133052),31069494,0.0
31069495,4,,,POINT (-77.0951984 -12.0135258),31069495,0.0
31069505,4,,,POINT (-77.0950744 -12.0137045),31069505,0.0
31069515,3,,,POINT (-77.0952399 -12.0128781),31069494,0.0004384689840812637
31069517,3,,,POINT (-77.0965262 -12.0109041),31069494,0.0026785234029200605
31069520,3,,,POINT (-77.09861890000001 -12.0069948),1359116755,0.000600852535979589
31069528,3,,,POINT (-77.098822 -12.0072297),1359116755,0.0006493652670109964
31069529,4,,,POINT (-77.0970413 -12.010129),31069494,0.003603572016762251
31069530,3,,,POINT (-77.09837779999999 -12.0074527),1359116755,0.0010878803656682342
31069553,3,,,POINT (-77.1060439 -12.0215084),31069553,0.0
31069556,4,,,POINT (-77.1015057 -12.0195785),31069657,0.00029169682892334395
31069560,4,,,POINT (-77.10571059999999 -12.0222721),31069560,0.0
31069593,3,,,POINT (-77.10656470000001 -12.0215838),31069593,0.0
31069595,3,,,POINT (-77.1061089 -12.0225075),31069595,0.0
31069656,4,,,POINT (-77.10115279999999 -12.0196318),31069656,0.0
31069657,4,,,POINT (-77.1012509 -12.0194365),31069657,0.0
31069687,4,traffic_signals,,POINT (-77.1062857 -12.0099008),273431138,0.0003019594674833825
31069688,4,,,POINT (-77.1013987 -12.0197945),31069656,0.0002948526750847019
31069689,3,,,POINT (-77.09967640000001 -12.0231959),848392007,0.00125565336777459
31069845,4,,,POINT (-77.1166448 -12.001024),31069856,0.00017509614501740712
31069846,4,,,POINT (-77.1168062 -12.0008799),31069846,0.0
31069855,3,,,POINT (-77.1169228 -12.0010093),31069855,0.0
31069856,3,,,POINT (-77.1167669 -12.0011495),31069856,0.0
31069859,3,,,POINT (-77.11605110000001 -12.0017239),31069856,0.0009177717581141963
31069864,4,,,POINT (-77.1159528 -12.0003074),6027804508,0.00021075874833017166
31069866,3,,,POINT (-77.11463910000001 -11.9986409),4366590204,0.00035573546351191573
31069871,4,traffic_signals,,POINT (-77.1187474 -11.9998067),31069871,0.0
31080533,3,,,POINT (-77.094014 -12.0299125),31080533,0.0
59056316,4,traffic_signals,,POINT (-77.0987442 -12.0452315),59056316,0.0
133953619,4,,,POINT (-77.14051360000001 -12.0537563),133953619,0.0
133953621,3,,,POINT (-77.1399716 -12.0530665),133953621,0.0
133953630,3,,,POINT (-77.13671549999999 -12.0537649),632033718,0.0004606742232862228
133953631,3,,,POINT (-77.1359545 -12.0542243),133953631,0.0
133953632,3,,,POINT (-77.13516509999999 -12.0547052),4053604160,0.00029437399681389055
133953634,3,,,POINT (-77.1345829 -12.0550357),4053604160,0.0009385221254687735
133955862,3,,,POINT (-77.1323756 -12.0562244),133955862,0.0
133955868,3,crossing,,POINT (-77.1346599 -12.054775),4053604160,0.000733754788733585
133955870,3,,,POINT (-77.13602710000001 -12.0540241),133955870,0.0
133955872,3,,,POINT (-77.1366242 -12.0536643),632033718,0.00041561011778416834
133955875,4,traffic_signals,,POINT (-77.13736040000001 -12.0532195),632031544,0.0001327646413756515
133955878,3,,,POINT (-77.13800019999999 -12.0528329),306758307,0.0006282589434304582
133955887,3,,,POINT (-77.1372633 -12.0517748),6405362639,0.0012342264662578506
133955888,3,,,POINT (-77.1362142 -12.0518057),133955891,0.0017000704103113367
133955890,3,,,POINT (-77.1353072 -12.0517025),133955891,0.0007898030640677412
133955891,3,,,POINT (-77.13451739999999 -12.0517003),133955891,0.0
133955898,3,,,POINT (-77.1341182 -12.0519892),133955898,0.0
133955906,3,,,POINT (-77.1337717 -12.0513532),133955906,0.0
133955913,3,,,POINT (-77.1342803 -12.0512046),133955913,0.0
133955919,3,,,POINT (-77.1345255 -12.0514915),133955919,0.0
133957386,3,,,POINT (-77.1390111 -12.0528642),133957386,0.0
133957391,3,,,POINT (-77.1385983 -12.0518718),133957391,0.0
133957395,3,,,POINT (-77.13932869999999 -12.051746),133957395,0.0
133957399,3,,,POINT (-77.1397781 -12.0523083),133957399,0.0
133958844,4,traffic_signals,,POINT (-77.1429325 -12.060968),133958844,0.0
133958845,3,,,POINT (-77.1428928 -12.0602661),133958844,0.000703021834654952
133958846,3,,,POINT (-77.14281630000001 -12.0593769),133958846,0.0
133958850,3,,,POINT (-77.14250819999999 -12.0573492),4279130206,0.0004462297614457817
133958851,4,,,POINT (-77.1423657 -12.0564194),133958851,0.0
133958857,4,traffic_signals,,POINT (-77.14164820000001 -12.0551118),133958857,0.0
133958858,3,,,POINT (-77.1410616 -12.0544366),133953619,0.0008735628712322649
133960419,3,,,POINT (-77.1385897 -12.0584152),629305784,0.0033038497574773536
133960421,3,,,POINT (-77.1386325 -12.0580119),629305784,0.0036723136644347945
133960425,4,,,POINT (-77.138628 -12.0575031),632025541,0.003592574088305609
133960426,4,,,POINT (-77.1392673 -12.0569981),133958857,0.003037566871695649
133960428,4,,,POINT (-77.1387264 -12.0562973),632025541,0.0028464718407108787
133960430,4,,,POINT (-77.1394155 -12.0557482),133953619,0.002274530549369794
133960432,4,,,POINT (-77.1388601 -12.0550625),133953619,0.0021071831173420387
133960433,4,,,POINT (-77.13955540000001 -12.0545135),133953619,0.0012212694542974552
133960435,4,,,POINT (-77.1390275 -12.0538406),133957386,0.0009765377207244923
133960437,3,,,POINT (-77.1395718 -12.0534147),133953621,0.0005301728774626382
133960480,4,,,POINT (-77.1416359 -12.0570214),133958851,0.0009460507597395145
133960481,4,,,POINT (-77.1409415 -12.0576094),4279130206,0.001646037536022959
133960482,3,,,POINT (-77.14044149999999 -12.0577909),4279130206,0.002136100189599163
133960891,4,,,POINT (-77.13806289999999 -12.0568278),632025541,0.0027121187363327065
133960892,4,,,POINT (-77.1375091 -12.056131),632025541,0.0018220951676564017
133960894,4,,,POINT (-77.1369603 -12.0554579),632025541,0.000953622341387263
133961275,4,,,POINT (-77.13815839999999 -12.0556175),632025541,0.002012506442216776
133961276,4,,,POINT (-77.13762060000001 -12.0549412),632025541,0.0012823330963525387
133961611,4,,,POINT (-77.14000160000001 -12.0564161),133958857,0.0021005927853824506
133961612,4,,,POINT (-77.14068399999999 -12.0558648),133958857,0.001223393084835737
133961613,3,,,POINT (-77.1412298 -12.0554479),133958857,0.0005366765972174429
133961894,4,,,POINT (-77.1401164 -12.0551926),133953619,0.001490209894614506
133961896,4,,,POINT (-77.1406604 -12.0547563),133953619,0.0010107176856064797
133962619,4,,,POINT (-77.1383192 -12.0543947),632031544,0.0013839617227322002
133963193,4,,,POINT (-77.136126 -12.0572256),632025541,0.0025174850803935827
133963197,4,,,POINT (-77.1401007 -12.0540825),133953619,0.0005262060908051732
133963898,4,,,POINT (-77.13531740000001 -12.0589921),629216462,0.002023611882253837
133963900,4,,,POINT (-77.13599050000001 -12.0584774),629216462,0.0025818102350871606
133963901,4,,,POINT (-77.1366845 -12.0579314),632025541,0.003229178997825001
133963967,5,,,POINT (-77.13855599999999 -12.0587155),629305784,0.00303459784485145
133963969,4,,,POINT (-77.1371741 -12.0588328),629305784,0.002403290398599354
133964171,3,,,POINT (-77.13721049999999 -12.0585883),629305784,0.0026504832559354776
133964595,4,,,POINT (-77.13407239999999 -12.0588466),631742568,0.001595211189771044
133964599,3,,,POINT (-77.1354247 -12.0577779),631745347,0.0026260259899710267
133965890,3,,,POINT (-77.14193950000001 -12.0584259),4279125788,0.0007365776605346066
133965891,4,,,POINT (-77.1417654 -12.0575926),4279130206,0.0008358442438625545
133966601,4,,,POINT (-77.1334993 -12.0581656),631742568,0.001069184385401738
133966603,4,,,POINT (-77.13556610000001 -12.0565483),632025541,0.001993414359835215
135449855,3,,,POINT (-77.0983203 -12.052517),1273652212,0.0003562830896853702
135459125,4,,,POINT (-77.0898601 -12.0521528),1329794532,0.0034505619382847273
135459129,3,,,POINT (-77.08798059999999 -12.0518273),1329794532,0.0015430939342661611
135459131,4,,,POINT (-77.0853132 -12.0513566),135459131,0.0
135462036,3,,,POINT (-77.0984935 -12.0535822),135462036,0.0
135462081,3,,,POINT (-77.08163380000001 -12.0506012),4419256233,0.001254857904307624
135462085,4,,,POINT (-77.0863707 -12.0514368),1329794554,0.00010272511864203672
138789935,3,,,POINT (-77.09110250000001 -12.0119575),1359117068,0.0009463997939556731
273420056,4,,,POINT (-77.11277339999999 -11.9970214),273420056,0.0
