osmid,street_count,highway,geometry,NN,NN_dist
495229664,3,,POINT (-76.8729173 -12.2196291),8758931352,0.005179882648280532
495229670,3,,POINT (-76.8701581 -12.2151855),6994198037,0.003008704588348478
495229955,3,,POINT (-76.8678479 -12.2169988),6994198037,0.0010561386319969408
495229959,3,,POINT (-76.87129109999999 -12.2142879),1572589226,0.0025441192464166693
495232557,3,,POINT (-76.8638438 -12.1703671),1572590869,0.0026613912245335393
495232563,4,,POINT (-76.8663873 -12.1628969),7074067464,0.0001423342896086924
495232569,4,,POINT (-76.8710177 -12.1495349),495232569,0.0
495232578,3,,POINT (-76.87211120000001 -12.1246545),4785198852,0.0014660226635360297
914286105,3,,POINT (-76.845538 -12.2194202),914286105,0.0
914286110,3,,POINT (-76.84482989999999 -12.2193573),914286110,0.0
914286184,3,,POINT (-76.8263334 -12.2131497),4741599408,0.0016262605726065685
914286186,3,,POINT (-76.82480990000001 -12.2119392),4741599408,0.0035716377825840157
914286586,4,,POINT (-76.847824 -12.2213),914286586,0.0
914286802,3,,POINT (-76.8464199 -12.2228961),5005507491,0.0014380342450673758
914286804,4,,POINT (-76.8491685 -12.2222984),914286804,0.0
914286892,3,,POINT (-76.84534789999999 -12.2241492),5005505516,0.0006128828028169711
914286893,4,,POINT (-76.8481774 -12.2233195),914286893,0.0
914286894,1,,POINT (-76.84957199999999 -12.2244114),7901709846,0.001750097874411852
914286986,3,,POINT (-76.8461064 -12.224305),5005505516,0.0013639355556554688
914286987,3,,POINT (-76.8478037 -12.2255749),2969252159,0.0017222533205077724
914286990,4,,POINT (-76.8492205 -12.2241361),914286893,0.0013247238089536687
914286991,3,,POINT (-76.85021159999999 -12.2230599),7901709846,0.0009760882439689285
914287166,3,,POINT (-76.8474628 -12.2217769),914286586,0.0005982466464602393
914287168,3,,POINT (-76.84874309999999 -12.2227367),1299523660,0.00016123827088994504
914287338,3,,POINT (-76.84970060000001 -12.2236242),1299523660,0.0013191464209938147
914288041,3,,POINT (-76.851562 -12.2114555),914288060,0.008386878872380255
914288043,3,,POINT (-76.8525546 -12.2124157),914288060,0.007283420390173143
914288060,4,,POINT (-76.85329489999999 -12.2196614),914288060,0.0
914288066,4,,POINT (-76.854023 -12.221489),914288066,0.0
914288072,3,,POINT (-76.855627 -12.2230804),914288072,0.0
914288298,3,,POINT (-76.8501311 -12.2130529),914288060,0.007326793479413741
914288305,4,,POINT (-76.85312329999999 -12.2093118),914288060,0.010351022496352367
914288307,3,,POINT (-76.8529516 -12.2074033),914288060,0.012262906282770308
914288314,3,,POINT (-76.8502392 -12.2053976),914288060,0.01458743613284887
914288346,3,,POINT (-76.8500119 -12.207204),914288060,0.012882736656469614
914288467,3,,POINT (-76.8541345 -12.2097233),914288060,0.009973502883641149
914288697,4,,POINT (-76.8496992 -12.2087492),914286105,0.01145363813117891
914288716,3,,POINT (-76.85072289999999 -12.2056529),914288060,0.014242656221715848
914288720,3,,POINT (-76.850266 -12.2059339),914288060,0.014057684427384707
914288838,3,,POINT (-76.850999 -12.2098361),914288060,0.010089979033672612
914288840,3,,POINT (-76.85215289999999 -12.2108444),914288060,0.00889064975128436
914289147,3,,POINT (-76.8509494 -12.2121441),914288060,0.00787471710856662
914289163,3,,POINT (-76.8504666 -12.210595),914288060,0.009497309611144901
914289167,3,,POINT (-76.8513043 -12.2090204),914288060,0.010825588638036726
914289258,3,,POINT (-76.8493421 -12.2098758),914286105,0.010274568028387386
914289538,3,,POINT (-76.8524548 -12.2142204),914288060,0.005505474458207704
914289994,4,,POINT (-76.8564385 -12.2122898),914288060,0.00801390713197965
914289997,3,,POINT (-76.8522688 -12.2153226),914288060,0.004458482550147928
914290202,3,,POINT (-76.8547648 -12.2102136),914288060,0.009561460706922077
914290204,3,,POINT (-76.8544273 -12.2094964),914288060,0.010227881244910106
914291662,3,,POINT (-76.8553144 -12.2188252),914288060,0.002185774620131775
914291989,4,,POINT (-76.85971619999999 -12.2266229),914291989,0.0
914291991,3,,POINT (-76.86186240000001 -12.2285347),4429998491,0.0009264620985151747
914292262,3,,POINT (-76.85809519999999 -12.2283355),914292262,0.0
914292434,3,,POINT (-76.8614678 -12.2290211),4508861020,0.0015220357748751718
914292440,3,,POINT (-76.85918650000001 -12.2271845),914292440,0.0
914292610,4,,POINT (-76.859571 -12.2290736),5927680606,0.0014787922707369232
914292613,4,,POINT (-76.86038619999999 -12.2281104),4508861020,0.0006211598264582439
914292803,3,,POINT (-76.8608365 -12.2296879),5927680606,0.0008173195458366213
914292930,3,,POINT (-76.86060569999999 -12.2299698),5927680606,0.00045334138350485077
914293109,3,,POINT (-76.8580664 -12.2317531),1273505793,0.0007958766550151893
914293111,3,,POINT (-76.85934690000001 -12.2303099),914297632,0.00084214740395825
914293234,3,,POINT (-76.8599083 -12.230809),914297632,0.0003816192081137427
914293237,3,,POINT (-76.8580692 -12.2291742),914293237,0.0
914296867,4,,POINT (-76.86316549999999 -12.2357146),5003611557,0.003939182719806609
914297087,4,,POINT (-76.8651102 -12.2341871),1757617910,0.0030243285601949314
914297627,3,,POINT (-76.8614381 -12.2346556),1273480750,0.00382949757801594
914297632,4,,POINT (-76.8596544 -12.2310939),914297632,0.0
914297633,4,,POINT (-76.8590755 -12.2306217),1273505793,0.0007203174994448409
914297634,4,,POINT (-76.8585413 -12.2302003),1572590578,0.0006944524245729809
914297636,3,,POINT (-76.8577264 -12.2294587),914297636,0.0
914297870,3,,POINT (-76.8574922 -12.2334035),914297870,0.0
914297879,3,,POINT (-76.8594732 -12.2347578),914297870,0.002399685289783885
914297919,3,,POINT (-76.85670380000001 -12.2322341),914297919,0.0
914297992,3,,POINT (-76.8571082 -12.2328311),914297992,0.0
914298430,3,,POINT (-76.8614611 -12.23723),5003611557,0.005137360989844056
1273449812,3,,POINT (-76.8652407 -12.1108514),1273449812,0.0
1273450444,3,,POINT (-76.8695972 -12.1168695),1273721029,0.0033035908493597075
1273456988,4,,POINT (-76.8583888 -12.2280257),1273456988,0.0
1273461280,3,,POINT (-76.8607696 -12.1096484),6944100485,0.0012063167908992086
1273465883,3,,POINT (-76.8763628 -12.1042887),4785198136,0.00031565756762113993
1273468034,3,,POINT (-76.8808928 -12.0911178),2517990075,0.0008403175411720367
1273468724,3,,POINT (-76.85719469999999 -12.2298925),1273468724,0.0
1273473411,4,,POINT (-76.8704949 -12.1108932),4785234163,0.0014969361275604606
1273473773,3,,POINT (-76.8802353 -12.0906307),2517990075,0.0014198941545097892
1273474301,1,,POINT (-76.8784426 -12.1215858),1273636809,0.005928692291730115
1273476041,3,,POINT (-76.8602626 -12.1110158),6944100485,0.0013561279733132225
1273478701,3,,POINT (-76.8759288 -12.1102072),4785198477,0.0018100545986277222
1273480442,4,,POINT (-76.8795092 -12.0912247),2517990075,0.0021920102052664183
1273480750,3,,POINT (-76.85910939999999 -12.2316155),1273480750,0.0
1273484674,1,,POINT (-76.87220259999999 -12.108141),6944065577,0.0009353403658553732
