osmid,highway,street_count,ref,geometry,NN,NN_dist
108018049,traffic_signals,4,,POINT (-77.0304618 -12.1033908),108018049,0.0
108018054,,4,,POINT (-77.02763760000001 -12.1029558),108018054,0.0
108024270,motorway_junction,3,7,POINT (-77.0264293 -12.1094991),262573476,0.00045435903204429885
108170873,,4,,POINT (-77.03149689999999 -12.104541),138851437,0.001216137989699435
108170876,,3,,POINT (-77.0313189 -12.105597),138851441,0.0012072067801326219
108170878,traffic_signals,4,,POINT (-77.03113260000001 -12.1066639),138851445,0.0011987588790096048
108170879,traffic_signals,4,,POINT (-77.030951 -12.1077457),138851451,0.0012036563629291733
108170880,,3,,POINT (-77.03076369999999 -12.1088013),138851455,0.0011837593040800172
108172213,traffic_signals,4,,POINT (-77.0308012 -12.1077209),138851451,0.00105183270533474
108172214,traffic_signals,4,,POINT (-77.0309776 -12.1066389),138851445,0.0010417590172350675
108172216,,3,,POINT (-77.0311538 -12.10559),138851441,0.0010430828921953086
108177573,traffic_signals,3,,POINT (-77.0289554 -12.1194382),108177573,0.0
108177576,,3,,POINT (-77.028885 -12.1192999),108177573,0.00015518714508522456
108177580,,3,,POINT (-77.0290071 -12.1182774),108180356,0.0003446691892264231
108177584,traffic_signals,4,,POINT (-77.0292257 -12.1169466),108177584,0.0
108177587,,3,,POINT (-77.0293963 -12.1159226),108180355,0.0010319341887940275
108177589,traffic_signals,4,,POINT (-77.0297656 -12.1137747),108177590,7.791392686848993e-05
108177590,traffic_signals,4,,POINT (-77.0297793 -12.113698),108177590,0.0
108177591,,4,,POINT (-77.0301498 -12.1116159),138851464,0.00106886596447523
108177593,traffic_signals,4,,POINT (-77.0303225 -12.1105781),138851462,0.001060736578988173
108177596,traffic_signals,4,,POINT (-77.03049040000001 -12.1095394),138851460,0.0010513780718684458
108177597,,3,,POINT (-77.03052820000001 -12.1093146),138851457,0.00104651701372134
108178119,traffic_signals,4,,POINT (-77.02939069999999 -12.1245531),108178119,0.0
108178122,traffic_signals,3,,POINT (-77.0290937 -12.1223648),133925753,0.0005800293268449636
108178124,,3,,POINT (-77.0290097 -12.121318),1273617313,0.0009507124118272967
108178130,,3,,POINT (-77.0289671 -12.1198384),108178130,0.0
108178882,,3,,POINT (-77.029253 -12.1193534),108178882,0.0
108180343,traffic_signals,4,,POINT (-77.03063710000001 -12.1095416),138851457,0.0011933717987329554
108180344,traffic_signals,4,,POINT (-77.0304668 -12.1105917),138851462,0.001205660068182464
108180346,,4,,POINT (-77.030294 -12.1116131),138851464,0.0012125178802808877
108180347,traffic_signals,4,,POINT (-77.0301158 -12.1126445),108180348,0.0010736481453452852
108180348,traffic_signals,4,,POINT (-77.0299433 -12.1137042),108180348,0.0
108180350,traffic_signals,4,,POINT (-77.02993240000001 -12.1137763),108180348,7.29192704273738e-05
108180353,,3,,POINT (-77.0297546 -12.1148553),108177590,0.001157563553331733
108180354,,4,,POINT (-77.02957290000001 -12.1159231),108180355,0.0010478601815135657
108180355,traffic_signals,4,,POINT (-77.0293879 -12.1169545),108180355,0.0
108180356,traffic_signals,4,,POINT (-77.02920570000001 -12.1179957),108180356,0.0
108183448,,3,,POINT (-77.0298875 -12.1314114),108183448,0.0
108183453,,4,,POINT (-77.02983620000001 -12.1308035),108183453,0.0
108183454,,3,,POINT (-77.0297892 -12.1301537),108183454,0.0
108183455,traffic_signals,4,,POINT (-77.0297564 -12.1298024),108183455,0.0
108183456,,4,,POINT (-77.02965500000001 -12.1286964),108183456,0.0
108183457,,4,,POINT (-77.0295649 -12.1277816),108183457,0.0
108183458,traffic_signals,5,,POINT (-77.02952809999999 -12.126872),108183458,0.0
108183459,,4,,POINT (-77.029461 -12.1259848),108183459,0.0
108183461,,3,,POINT (-77.02943380000001 -12.1254635),108183461,0.0
108188418,,3,,POINT (-77.03468340000001 -12.1291664),263612200,0.0010622791064492396
108188424,,3,,POINT (-77.03411800000001 -12.1299562),263612200,0.001952652846765773
108188432,,3,,POINT (-77.03292039999999 -12.1301527),263612200,0.0027396871737465386
108188442,,3,,POINT (-77.0321617 -12.1309858),108183448,0.0023136812658639807
108188451,,3,,POINT (-77.0310648 -12.130841),108183453,0.001229172164497832
108188458,,4,,POINT (-77.02912480000001 -12.1321849),108183448,0.0010862842813900483
108191733,,4,,POINT (-77.03166710000001 -12.1241355),108191733,0.0
108191735,,4,,POINT (-77.0301716 -12.1244197),108191735,0.0
108191737,traffic_signals,4,,POINT (-77.02793010000001 -12.1247796),108191737,0.0
108191738,traffic_signals,4,,POINT (-77.0269052 -12.1249385),108191738,0.0
