osmid,street_count,highway,geometry,NN,NN_dist
301457749,4,,POINT (-77.0983073 -12.0483681),301457749,0.0
306072672,3,,POINT (-77.09759630000001 -12.0397331),306072672,0.0
306072675,4,traffic_signals,POINT (-77.08834299999999 -12.0379854),306072675,0.0
306323111,4,,POINT (-77.0982992 -12.0484534),306323111,0.0
560562643,4,,POINT (-77.09900399999999 -12.040634),560562643,0.0
624557471,4,,POINT (-77.09436650000001 -12.0397101),6046988700,0.0012093925789512221
624557482,4,,POINT (-77.088162 -12.0385255),624557482,0.0
624557485,4,,POINT (-77.08286219999999 -12.0375104),883962378,0.004163923156120616
624580318,3,,POINT (-77.0989831 -12.0412247),624580318,0.0
624580321,4,,POINT (-77.0963035 -12.0407327),624658948,0.0012312165731474312
624580324,3,traffic_signals,POINT (-77.09423959999999 -12.0402674),6046988700,0.001602952079757307
624580329,3,,POINT (-77.09102179999999 -12.0396278),9170118036,0.0012583490652439125
624580331,4,,POINT (-77.0879288 -12.0390575),883962368,8.491483969000621e-05
624580335,4,,POINT (-77.0860792 -12.0387501),883962378,0.0014189533114244415
624580342,4,,POINT (-77.0827942 -12.0381684),883962378,0.003835748382007467
624616881,3,,POINT (-77.0985323 -12.0418278),883962508,0.000597112058154847
624616906,3,,POINT (-77.0941347 -12.0408135),6046988700,0.0020761566149991887
624616917,4,,POINT (-77.09182989999999 -12.0403605),9170118036,0.0021151419834127025
624616922,4,,POINT (-77.0898004 -12.0400022),883962433,0.0019600791642136934
624616962,1,,POINT (-77.0862217 -12.0392546),883962378,0.0009274105886815741
624616973,3,,POINT (-77.08597039999999 -12.0391759),883962378,0.0009977774601600234
624616984,4,,POINT (-77.0848254 -12.0389622),883962378,0.0017313834035290584
624617004,3,,POINT (-77.0837567 -12.0388658),883962378,0.0026524242270141375
624617025,4,,POINT (-77.0827273 -12.0386881),902316221,0.003522165299924606
624637554,3,,POINT (-77.0904383 -12.0383957),9172295428,0.0005311774468083236
624637556,3,,POINT (-77.0892501 -12.0414998),1468861167,0.0019067417916470966
624638487,4,,POINT (-77.0889688 -12.0392305),883962368,0.0009694670339991185
624638491,4,,POINT (-77.0887864 -12.0398179),883962433,0.0009294718607878242
624638499,3,,POINT (-77.0893222 -12.038172),306072675,0.0009968210471324149
624638502,3,,POINT (-77.0885608 -12.0408847),1468861167,0.0010183488007545136
624639890,3,,POINT (-77.0883761 -12.0378278),306072675,0.00016103841156868572
624640867,3,,POINT (-77.0871222 -12.0388999),883962368,0.0009065647522394412
624641337,3,,POINT (-77.0863612 -12.0376139),306072675,0.0020163192926675546
624642107,3,,POINT (-77.08500239999999 -12.0373599),883962378,0.0030040311349965143
624642110,4,,POINT (-77.0848637 -12.0385515),883962378,0.0020159356363770708
624642126,4,,POINT (-77.0847935 -12.0392278),883962378,0.0015834787652524499
624642128,1,,POINT (-77.0847614 -12.0394306),883962378,0.001499854929652884
624643247,4,,POINT (-77.0838964 -12.0377162),883962378,0.0032752554236311483
624643252,4,,POINT (-77.0838182 -12.0383536),883962378,0.002890039593161932
624643947,4,traffic_signals,POINT (-77.08295699999999 -12.0369491),883962378,0.004476520302655426
624643956,3,,POINT (-77.08267619999999 -12.0390742),902316221,0.0031408662785919732
624645153,1,,POINT (-77.08577409999999 -12.0397968),883962378,0.0004735659193895481
624645993,4,,POINT (-77.0906332 -12.0406826),9170118036,0.002358466478455619
624645994,3,,POINT (-77.0901382 -12.0419304),1468861167,0.0028918432893237224
624646243,4,,POINT (-77.0920486 -12.0398251),9170118036,0.0017306801495369354
624646245,3,,POINT (-77.0924512 -12.0387562),6046988700,0.0010953388197203796
624646247,4,,POINT (-77.09162360000001 -12.0408765),9170118036,0.0025566507974312306
624646248,3,,POINT (-77.0910457 -12.0423974),1468861167,0.0039121916951995305
624648707,4,,POINT (-77.09265190000001 -12.0410742),6046988700,0.0024217010963317924
624648712,4,,POINT (-77.09243119999999 -12.0416264),6046988700,0.003016370078421605
624648714,3,,POINT (-77.09116229999999 -12.0478162),624648714,0.0
624654050,3,,POINT (-77.09387150000001 -12.041924),6046988700,0.0031181933872040423
624654056,3,,POINT (-77.0932069 -12.0434694),4331443692,0.00452804329042965
